31.22222,121.45806,22315474,12;
41.01384,28.94966,14804116,39;
-34.61315,-58.37723,13076300,31;
19.07283,72.88261,12691836,8;
19.42847,-99.12766,12294193,2240;
39.9075,116.39723,11716620,49;
24.8608,67.0104,11624219,8;
39.14222,117.17667,11090314,11;
23.11667,113.25,11071424,15;
28.65195,77.23149,10927986,227;
55.75222,37.61556,10381222,144;
22.54554,114.0683,10358381,4;
23.7104,90.40744,10356500,23;
37.566,126.9784,10349312,38;
-23.5475,-46.63611,10021295,769;
30.58333,114.26667,9785388,20;
6.45407,3.39467,9000000,11;
-6.21462,106.84513,8540121,16;
35.6895,139.69171,8336599,44;
40.71427,-74.00597,8175133,57;
23.01797,113.74866,8000000,1;
25.04776,121.53185,7871900,10;
-4.32758,15.31357,7785965,281;
-12.04318,-77.02824,7737002,152;
30.06263,31.24967,7734614,23;
4.60971,-74.08175,7674366,2582;
51.50853,-0.12574,7556900,25;
29.56278,106.55278,7457600,225;
30.66667,104.06667,7415590,499;
33.34058,44.40088,7216000,41;
32.06167,118.77778,7165292,22;
35.69439,51.42151,7153309,1178;
30.79508,106.08473,7150000,287;
22.27832,114.17469,7012738,60;
34.25833,108.92861,6501190,416;
31.558,74.35071,6310888,216;
41.79222,123.43278,6255921,53;
30.29365,120.16142,6241971,12;
-22.90642,-43.18223,6023699,6;
45.75,126.65,5878939,140;
36.18528,117.12,5499000,143;
31.30408,120.59538,5345961,10;
23.36814,116.71479,5329024,17;
13.75398,100.50144,5104476,12;
12.97194,77.59369,5104047,914;
59.93863,30.31413,5028000,11;
-33.45694,-70.64827,4837295,556;
22.56263,88.36304,4631392,11;
-33.86785,151.20732,4627345,58;
16.80528,96.15611,4477638,30;
36.66833,116.99722,4335989,32;
13.08784,80.27847,4328063,14;
34.75778,113.64861,4253913,104;
-37.814,144.96332,4246375,25;
24.68773,46.72185,4205961,612;
43.88,125.32278,4193073,206;
38.91222,121.60222,4087733,33;
34.05223,-118.24368,3971883,96;
22.3384,91.83168,3920222,15;
25.03889,102.71833,3855346,1895;
31.20176,29.91582,3811516,9;
23.02579,72.58727,3719710,56;
36.06488,120.38042,3718835,16;
35.10278,129.04028,3678555,2;
5.30966,-4.01266,3677115,10;
12.00012,8.51672,3626068,484;
23.02677,113.13148,3600000,5;
17.38405,78.45636,3597816,515;
29.45679,119.88872,3590000,76;
35.43333,139.65,3574443,21;
7.37756,3.90591,3565108,181;
1.28967,103.85007,3547809,23;
31.56887,120.28857,3543719,10;
24.47979,118.08187,3531347,12;
39.91987,32.85427,3517182,874;
34.57952,105.74238,3500000,1153;
